catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-delete-admin-key,reviewed,DELETE,/admin-key,Disable Admin Key,reconcile,Admin Key reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-get-admin-key,reviewed,GET,/admin-key,Get Admin Key,extract,Admin Key extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-post-admin-key,reviewed,POST,/admin-key,Enable Admin Key,transform,Admin Key reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-get-app-properties,reviewed,GET,/app/properties,Get Forge app properties.,extract,App Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-delete-app-properties-propertykey,reviewed,DELETE,/app/properties/{propertyKey},Deletes a Forge app property.,reconcile,App Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-get-app-properties-propertykey,reviewed,GET,/app/properties/{propertyKey},Get a Forge app property by key.,extract,App Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-put-app-properties-propertykey,reviewed,PUT,/app/properties/{propertyKey},Create or update a Forge app property.,load,App Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-attachments,reviewed,GET,/attachments,Get attachments,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-attachments-attachment-id-properties,reviewed,GET,/attachments/{attachment-id}/properties,Get content properties for attachment,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-attachments-attachment-id-properties,reviewed,POST,/attachments/{attachment-id}/properties,Create content property for attachment,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-attachments-attachment-id-properties-property-id,reviewed,DELETE,/attachments/{attachment-id}/properties/{property-id},Delete content property for attachment by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
